step,batch_id,duration,prefill_count,decode_count,batch_size,memory_used,busy,tokens_generated
1,1,0.095538,20,0,20,931,True,635
2,2,0.001535,0,20,20,931,True,20
3,3,0.001580,0,20,20,931,True,20
4,4,0.001507,0,20,20,931,True,20
5,5,0.001465,0,20,20,899,True,20
6,6,0.001390,0,19,19,856,True,19
7,7,0.001547,0,18,18,838,True,18
8,8,0.001538,0,17,17,754,True,17
9,9,0.001620,0,15,15,754,True,15
10,10,0.001439,0,15,15,686,True,15
11,11,0.001400,0,14,14,656,True,14
12,12,0.001292,0,13,13,536,True,13
13,13,0.001335,0,10,10,468,True,10
14,14,0.001208,0,8,8,468,True,8
15,15,0.001189,0,8,8,468,True,8
16,16,0.001169,0,8,8,468,True,8
17,17,0.001380,0,8,8,468,True,8
18,18,0.001190,0,8,8,396,True,8
19,19,0.001075,0,7,7,396,True,7
20,20,0.001112,0,7,7,396,True,7
21,21,0.001182,0,7,7,396,True,7
22,22,0.001206,0,7,7,212,True,7
23,23,0.001064,0,4,4,113,True,4
24,24,0.000900,0,2,2,47,True,2
25,25,0.000850,0,1,1,0,True,1
